,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Agosto,6.0,629.0,138.0,49.0,29.0,225.0,93.0,3263.0,1180.0,210.0,1027.0,150.0,87.0,9252.0,3142.0,379.0,30765.0,84.0,1664.0,641.0,15158.0,3117.0,1734.0,73022.0,16242.0,112.0,463.0,0.0,506.0,40.0,440.0,313.0,28.0,13.0,13080.0,21992.0,1753.0,4309.0,9823.0,597.0,632.0,46.0,24670.0,1229.0,9.0,1334.0,13040.0,17578.0,1397.0,915.0,346.0,5104.0,136011.0,209033.0,2019,Agosto,8
Septiembre,1.0,757.0,155.0,35.0,109.0,329.0,117.0,5131.0,2380.0,168.0,1107.0,102.0,229.0,10526.0,2761.0,2786.0,38689.0,72.0,1072.0,1513.0,12771.0,788.0,2255.0,83853.0,11648.0,208.0,574.0,32.0,96.0,126.0,906.0,183.0,68.0,81.0,11020.0,9214.0,3771.0,2153.0,11832.0,810.0,1316.0,84.0,57540.0,419.0,43.0,3632.0,12915.0,28055.0,1247.0,337.0,503.0,6814.0,165627.0,249480.0,2019,Septiembre,9
Octubre,22.0,281.0,138.0,45.0,110.0,1335.0,171.0,7356.0,3040.0,191.0,1336.0,82.0,35.0,21222.0,1484.0,921.0,58466.0,753.0,2533.0,2669.0,15767.0,1331.0,3256.0,122544.0,12604.0,62.0,1214.0,189.0,25.0,154.0,2665.0,504.0,30.0,166.0,14337.0,3622.0,3654.0,2244.0,12794.0,980.0,12780.0,181.0,39650.0,2997.0,1.0,7401.0,14946.0,44608.0,713.0,1406.0,2353.0,10770.0,193050.0,315594.0,2019,Octubre,10
Noviembre,11.0,409.0,51.0,100.0,71.0,1955.0,117.0,7702.0,1672.0,115.0,1431.0,47.0,92.0,17726.0,1603.0,62.0,85285.0,720.0,4440.0,3218.0,15628.0,1184.0,6972.0,150611.0,10605.0,50.0,1259.0,28.0,118.0,224.0,3555.0,1054.0,69.0,90.0,8675.0,1842.0,1891.0,5271.0,15663.0,122.0,15757.0,121.0,7663.0,360.0,10.0,3629.0,12838.0,37217.0,115.0,1148.0,6346.0,9020.0,144740.0,295351.0,2019,Noviembre,11
Diciembre,4.0,551.0,83.0,98.0,195.0,3498.0,167.0,9811.0,2101.0,179.0,1460.0,21.0,108.0,7918.0,987.0,102.0,99459.0,1705.0,7725.0,3296.0,45304.0,1461.0,7388.0,193621.0,9233.0,9.0,965.0,13.0,579.0,20.0,4745.0,1884.0,137.0,62.0,7537.0,1288.0,2791.0,6589.0,22000.0,91.0,13350.0,94.0,1682.0,36.0,30.0,4579.0,22385.0,26664.0,93.0,502.0,7727.0,10129.0,145214.0,338835.0,2019,Diciembre,12
Total,103.0,4500.0,659.0,728.0,1173.0,19548.0,15382.0,81833.0,22834.0,4189.0,13398.0,955.0,1929.0,120408.0,19168.0,7687.0,839272.0,8033.0,63257.0,23270.0,198202.0,19266.0,47367.0,1513161.0,136013.0,817.0,21047.0,463.0,2529.0,6195.0,30806.0,18788.0,907.0,454.0,135911.0,59923.0,23705.0,60589.0,195169.0,5139.0,94672.0,1226.0,148548.0,7702.0,138.0,57854.0,172608.0,360961.0,8329.0,81710.0,52856.0,97864.0,1782923.0,3296084.0,2019,Total,-1
Enero,9.0,620.0,22.0,41.0,82.0,4384.0,637.0,8338.0,2074.0,259.0,1330.0,41.0,202.0,8798.0,901.0,160.0,107739.0,1647.0,5626.0,4059.0,12565.0,2467.0,4225.0,166226.0,6758.0,9.0,1637.0,0.0,130.0,321.0,3163.0,3134.0,61.0,5.0,9067.0,983.0,2278.0,7115.0,14423.0,212.0,13482.0,141.0,1193.0,77.0,17.0,3537.0,10821.0,22729.0,37.0,415.0,8279.0,7423.0,117447.0,283673.0,2020,Enero,1
Febrero,3.0,307.0,155.0,29.0,178.0,3397.0,1021.0,5528.0,2063.0,255.0,1340.0,28.0,370.0,7868.0,1092.0,18.0,83879.0,1325.0,9914.0,3258.0,13465.0,2156.0,4055.0,141704.0,6648.0,2.0,2199.0,9.0,79.0,529.0,3365.0,5272.0,41.0,27.0,8409.0,1356.0,2777.0,6620.0,16199.0,267.0,10732.0,100.0,1211.0,409.0,3.0,5685.0,11453.0,34061.0,58.0,1764.0,5868.0,7499.0,132642.0,274346.0,2020,Febrero,2
Marzo,13.0,351.0,20.0,50.0,88.0,1357.0,3127.0,15115.0,1392.0,295.0,509.0,61.0,356.0,10699.0,1073.0,94.0,120285.0,695.0,7127.0,1949.0,11930.0,2260.0,3769.0,182615.0,7959.0,4.0,6333.0,,64.0,986.0,4863.0,3621.0,20.0,2.0,10632.0,1416.0,3472.0,7485.0,16804.0,47.0,11886.0,161.0,1469.0,365.0,4.0,7492.0,14434.0,29648.0,20.0,10204.0,7846.0,7623.0,154860.0,337475.0,2020,Marzo,3
Abril,2.0,313.0,0.0,10.0,221.0,938.0,6038.0,19027.0,1911.0,146.0,25.0,21.0,202.0,10047.0,1112.0,972.0,106124.0,56.0,6902.0,1862.0,10159.0,1396.0,2927.0,170411.0,12227.0,4.0,10052.0,,3.0,1094.0,3486.0,463.0,25.0,1.0,8090.0,767.0,3218.0,5996.0,19603.0,89.0,12018.0,116.0,5538.0,67.0,0.0,7171.0,12324.0,24416.0,25.0,20417.0,7369.0,11914.0,166493.0,336904.0,2020,Abril,4
Mayo,4.0,435.0,1.0,14.0,98.0,577.0,5402.0,4717.0,1528.0,378.0,806.0,82.0,88.0,8006.0,1162.0,1279.0,52272.0,123.0,6606.0,1262.0,11540.0,765.0,3140.0,100285.0,18306.0,14.0,4460.0,83.0,35.0,450.0,4016.0,325.0,77.0,3.0,19855.0,2390.0,870.0,6225.0,15472.0,37.0,4338.0,74.0,18336.0,141.0,0.0,4635.0,12944.0,29284.0,716.0,45397.0,4617.0,7891.0,200991.0,301276.0,2020,Mayo,5
Junio,8.0,93.0,2.0,18.0,53.0,484.0,2443.0,954.0,1793.0,405.0,691.0,139.0,100.0,5819.0,1886.0,235.0,20477.0,127.0,4435.0,662.0,16491.0,2429.0,2638.0,62382.0,21976.0,54.0,880.0,40.0,86.0,253.0,1142.0,322.0,3.0,3.0,13713.0,19801.0,1923.0,6238.0,12537.0,162.0,1955.0,24.0,22264.0,342.0,1.0,3058.0,13397.0,22322.0,1799.0,21200.0,3843.0,7200.0,176538.0,238920.0,2020,Junio,6
Julio,25.0,243.0,2.0,26.0,13.0,346.0,416.0,2770.0,1550.0,96.0,1019.0,89.0,23.0,8589.0,2700.0,810.0,19854.0,77.0,3044.0,537.0,19868.0,525.0,3030.0,65652.0,16742.0,320.0,1974.0,0.0,2024.0,86.0,1004.0,2151.0,60.0,3.0,11409.0,8025.0,1451.0,4947.0,10500.0,403.0,916.0,92.0,26306.0,918.0,5.0,1783.0,11152.0,22260.0,1841.0,4627.0,1925.0,6060.0,138984.0,204636.0,2020,Julio,7
Agosto,16.0,788.0,2.0,98.0,75.0,245.0,175.0,4591.0,1440.0,35.0,913.0,135.0,26.0,14080.0,2601.0,196.0,29954.0,82.0,1386.0,836.0,16210.0,1479.0,2494.0,77857.0,19455.0,65.0,835.0,7.0,478.0,173.0,485.0,182.0,42.0,88.0,11759.0,6511.0,3681.0,5540.0,7470.0,675.0,1423.0,26.0,38469.0,1083.0,4.0,837.0,9403.0,18192.0,1406.0,3710.0,412.0,6546.0,138957.0,216814.0,2020,Agosto,8
Septiembre,34.0,1402.0,10.0,192.0,80.0,322.0,236.0,5374.0,1970.0,97.0,760.0,54.0,26.0,17450.0,2165.0,29.0,54396.0,119.0,1732.0,1793.0,14321.0,1676.0,2608.0,106846.0,18194.0,52.0,739.0,4.0,345.0,155.0,886.0,122.0,26.0,218.0,13917.0,3495.0,3121.0,2650.0,12165.0,473.0,2780.0,43.0,44281.0,1172.0,3.0,2628.0,11261.0,24734.0,612.0,830.0,528.0,7621.0,153055.0,259901.0,2020,Septiembre,9
Octubre,6.0,893.0,1.0,112.0,207.0,848.0,267.0,6105.0,1992.0,7.0,1204.0,59.0,53.0,14780.0,1895.0,194.0,83977.0,317.0,3674.0,2583.0,14569.0,546.0,3104.0,137393.0,18496.0,19.0,1262.0,161.0,8.0,175.0,3045.0,107.0,30.0,156.0,9790.0,2193.0,1740.0,3493.0,17831.0,247.0,13070.0,77.0,25259.0,253.0,1.0,3541.0,10162.0,31190.0,226.0,597.0,3199.0,12009.0,158337.0,295730.0,2020,Octubre,10
Noviembre,4.0,862.0,1.0,36.0,98.0,2171.0,219.0,5722.0,2113.0,39.0,1144.0,84.0,53.0,8233.0,1260.0,346.0,116808.0,837.0,5121.0,4151.0,12757.0,438.0,3852.0,166349.0,15875.0,2.0,966.0,86.0,173.0,2.0,4347.0,976.0,38.0,120.0,12152.0,1277.0,1327.0,5865.0,17758.0,167.0,12217.0,69.0,5890.0,175.0,2.0,4017.0,13549.0,30914.0,540.0,494.0,6832.0,15268.0,151098.0,317447.0,2020,Noviembre,11
Diciembre,3.0,1359.0,13.0,39.0,34.0,2947.0,224.0,10788.0,1647.0,179.0,1200.0,22.0,21.0,17033.0,931.0,42.0,118678.0,1867.0,6586.0,3026.0,11449.0,1869.0,5218.0,185175.0,11188.0,34.0,1181.0,5.0,616.0,45.0,4574.0,2537.0,106.0,44.0,9251.0,6287.0,1053.0,8128.0,18840.0,270.0,10975.0,99.0,1111.0,58.0,0.0,6057.0,20548.0,34454.0,191.0,349.0,8921.0,12975.0,159897.0,345072.0,2020,Diciembre,12
Total,127.0,7666.0,229.0,665.0,1227.0,18016.0,20205.0,89029.0,21473.0,2191.0,10941.0,815.0,1520.0,131402.0,18778.0,4375.0,914443.0,7272.0,62153.0,25978.0,165324.0,18006.0,41060.0,1562895.0,173824.0,579.0,32518.0,395.0,4041.0,4269.0,34376.0,19212.0,529.0,670.0,138044.0,54501.0,26911.0,70302.0,179602.0,3049.0,95792.0,1022.0,191327.0,5060.0,40.0,50441.0,151448.0,324204.0,7471.0,110004.0,59639.0,110029.0,1849299.0,3412194.0,2020,Total,-1
