,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Agosto,5201.0,1328924.0,202168.0,130487.0,37952.0,125860.0,57280.0,1027332.0,937021.0,252992.0,4288799.0,222437.0,114408.0,5302149.0,3729505.0,181950.0,9388422.0,63625.0,1468897.0,667639.0,13677830.0,694581.0,2953405.0,46858864.0,40918946.0,41087.0,2339235.0,70.0,1956875.0,44027.0,1789402.0,593070.0,154548.0,23417.0,18579751.0,22108299.0,2138570.0,6596944.0,6090447.0,90172.0,315158.0,273164.0,15957388.0,206974.0,17019.0,661448.0,9680296.0,9304732.0,1243307.0,296086.0,527352.0,6663764.0,148611548.0,195470412.0,2019,Agosto,8
Septiembre,2462.0,1632125.0,231055.0,46557.0,98571.0,188589.0,104400.0,1510111.0,1843040.0,231366.0,4745626.0,122958.0,90591.0,7886420.0,3263196.0,481995.0,11428495.0,80823.0,1119564.0,1390313.0,12412051.0,308694.0,3504886.0,52723888.0,31716863.0,54478.0,3880609.0,30775.0,373139.0,60203.0,4901969.0,347170.0,250570.0,161951.0,15593684.0,9526275.0,4120645.0,3831523.0,7569849.0,173833.0,1124209.0,564748.0,40956923.0,263039.0,29389.0,1793006.0,9279182.0,15625101.0,1008089.0,170673.0,626311.0,9830957.0,163865163.0,216589051.0,2019,Septiembre,9
Octubre,14096.0,636314.0,215734.0,68196.0,67073.0,683469.0,186136.0,2673347.0,1742340.0,211785.0,4908630.0,99258.0,63647.0,16445562.0,1578951.0,327712.0,17805082.0,535654.0,2226825.0,2334753.0,14906590.0,458052.0,4631063.0,72820269.0,32650735.0,44458.0,6676555.0,67689.0,54111.0,128813.0,14928278.0,1088076.0,69374.0,214662.0,19963569.0,3344998.0,3586527.0,2734673.0,9601967.0,179754.0,8816990.0,955254.0,28866542.0,157869.0,20122.0,3919194.0,10094282.0,25494585.0,583985.0,769884.0,2900759.0,14642043.0,192555748.0,265376017.0,2019,Octubre,10
Noviembre,8552.0,634653.0,81654.0,71523.0,69599.0,1476784.0,90784.0,3389667.0,885603.0,151035.0,5681795.0,92528.0,86846.0,18619690.0,2250684.0,163419.0,28224772.0,377668.0,4118523.0,2611221.0,14157154.0,303741.0,6382677.0,89930572.0,26982335.0,37774.0,7822103.0,22844.0,940312.0,174186.0,19678819.0,3836242.0,136401.0,202330.0,12138186.0,2392061.0,1704342.0,8780252.0,11412465.0,32864.0,11812304.0,827851.0,5284752.0,17968.0,27479.0,2508274.0,8716400.0,20755244.0,116308.0,685720.0,10097532.0,13354352.0,170497700.0,260428272.0,2019,Noviembre,11
Diciembre,2133.0,872643.0,68288.0,102613.0,178614.0,2291583.0,131295.0,4391683.0,1237683.0,224762.0,5954299.0,48417.0,177490.0,12865537.0,1496417.0,30755.0,34513928.0,892938.0,7618191.0,2600953.0,15761516.0,370204.0,7187107.0,99019049.0,21335092.0,32128.0,6397262.0,7474.0,3370896.0,25515.0,25232329.0,6671487.0,620628.0,210682.0,12336118.0,1620518.0,2437586.0,11098856.0,13035155.0,78183.0,9563428.0,775572.0,1184136.0,60063.0,66168.0,3341396.0,15788102.0,14964652.0,74930.0,300319.0,15284176.0,12835463.0,178748314.0,277767363.0,2019,Diciembre,12
Total,100076.0,8230907.0,910722.0,867322.0,1064316.0,14016286.0,7373744.0,40480867.0,15119027.0,3681064.0,51053811.0,1230915.0,1821577.0,154933629.0,24840725.0,3327831.0,297794576.0,5618087.0,61479713.0,21673030.0,152646049.0,5462005.0,56931010.0,930657289.0,304849925.0,467098.0,113965606.0,377570.0,9670815.0,8747271.0,187700308.0,47605239.0,4106370.0,948313.0,191579649.0,60810247.0,23348835.0,98304644.0,136580683.0,2187461.0,68978398.0,8135129.0,102012060.0,3408402.0,355284.0,39720025.0,121682059.0,197832949.0,7408523.0,42567314.0,95208662.0,130184540.0,2008743379.0,2939400668.0,2019,Total,-1
Enero,5610.0,1204734.0,19919.0,81538.0,118547.0,4319879.0,318080.0,3643588.0,1386311.0,289731.0,5933685.0,79985.0,200560.0,14615570.0,1491303.0,90957.0,34357982.0,882716.0,6310303.0,2943862.0,13189280.0,500443.0,5586033.0,97570616.0,15267157.0,9495.0,8061267.0,143.0,644354.0,416835.0,15518980.0,8923628.0,275955.0,28442.0,15069901.0,979998.0,2545576.0,11044246.0,11450257.0,257995.0,9351724.0,672885.0,761324.0,95554.0,34654.0,2914986.0,8074873.0,12703610.0,36421.0,271526.0,17569033.0,10469252.0,153450071.0,251020687.0,2020,Enero,1
Febrero,9634.0,605855.0,121323.0,54211.0,182348.0,2545861.0,556699.0,2498409.0,1136073.0,176508.0,5129445.0,49312.0,314742.0,13149671.0,1723544.0,160518.0,27540439.0,733234.0,9403538.0,2296349.0,14461964.0,458162.0,5297101.0,88604940.0,15435152.0,4944.0,14344200.0,19403.0,411656.0,741198.0,21638021.0,12223241.0,166227.0,43687.0,11654822.0,1362151.0,2837098.0,9695924.0,13179845.0,242130.0,7111248.0,814935.0,761675.0,651285.0,19337.0,5741611.0,9583395.0,19797960.0,53333.0,1082010.0,12666454.0,10105401.0,172388343.0,260993283.0,2020,Febrero,2
Marzo,6838.0,523211.0,15002.0,61250.0,110371.0,1127826.0,1706948.0,7739409.0,1043207.0,320995.0,1484966.0,76773.0,215280.0,17038980.0,1525445.0,208136.0,40545715.0,365140.0,6639707.0,1560178.0,12298503.0,518761.0,4664663.0,99797304.0,18769882.0,8480.0,35982887.0,,252525.0,1280728.0,27986453.0,6786175.0,92858.0,10884.0,15400959.0,1323474.0,3108590.0,10179639.0,13961298.0,78130.0,8558395.0,1059230.0,824998.0,590163.0,12423.0,8049841.0,11147854.0,17100773.0,15890.0,5432896.0,17184950.0,11181906.0,216382281.0,316179585.0,2020,Marzo,3
Abril,862.0,587207.0,59.0,12479.0,177687.0,1010998.0,3623832.0,9939460.0,1994738.0,182137.0,71843.0,50308.0,138004.0,14046434.0,1617776.0,677590.0,36014461.0,31110.0,7714767.0,1376406.0,11666922.0,344923.0,3594890.0,94874893.0,27536196.0,7012.0,41625395.0,,5391.0,1560135.0,16884670.0,682077.0,51942.0,1019.0,13591048.0,785726.0,3371682.0,9350370.0,17232170.0,72943.0,8863840.0,832448.0,3358910.0,94299.0,4977.0,7854056.0,8449700.0,13615205.0,14019.0,14409639.0,14048140.0,12472617.0,216775626.0,311650519.0,2020,Abril,4
Mayo,3547.0,805611.0,3036.0,57956.0,119437.0,444298.0,3075578.0,2195882.0,1277235.0,484173.0,2251700.0,122972.0,86940.0,11426610.0,1885177.0,1010389.0,15764832.0,98016.0,6384156.0,1266660.0,10431496.0,218706.0,4060087.0,63474494.0,37867722.0,34029.0,17634565.0,55467.0,51636.0,635655.0,17872443.0,679502.0,163712.0,3738.0,41383817.0,2251209.0,1166592.0,10094610.0,14402104.0,31649.0,3249807.0,390178.0,12516400.0,126569.0,1534.0,5107534.0,9521012.0,16756378.0,767837.0,27386451.0,7684145.0,10080694.0,237916989.0,301391483.0,2020,Mayo,5
Junio,6246.0,234574.0,4646.0,46768.0,81156.0,317201.0,1293139.0,440047.0,1525384.0,329374.0,3638635.0,134496.0,64331.0,8445273.0,1951081.0,148324.0,6511094.0,83457.0,3654664.0,788951.0,11862948.0,376604.0,4066173.0,46004566.0,42001066.0,29753.0,3401764.0,29704.0,266894.0,158431.0,4989082.0,668386.0,31054.0,7662.0,24672982.0,19079873.0,1753665.0,9954747.0,12189389.0,169268.0,1501224.0,196972.0,15692429.0,302830.0,13763.0,3571711.0,9369566.0,12247072.0,1609141.0,10135986.0,6970282.0,8822876.0,189837572.0,235842138.0,2020,Junio,6
Julio,19035.0,598199.0,8985.0,44400.0,23742.0,271280.0,241464.0,1039097.0,1069403.0,122511.0,5399775.0,127553.0,39736.0,6747813.0,3013835.0,168328.0,5627202.0,57306.0,2502075.0,670939.0,15304273.0,302957.0,4181347.0,47581255.0,26904211.0,152619.0,9011004.0,1955.0,6752509.0,162780.0,5325007.0,3017055.0,109031.0,7496.0,21138242.0,7775426.0,1721009.0,7838190.0,10798884.0,107091.0,542919.0,395242.0,20587390.0,244873.0,7615.0,2071636.0,7325646.0,12080941.0,1581643.0,1497157.0,3553778.0,7190737.0,157902086.0,205483341.0,2020,Julio,7
Agosto,13982.0,1120560.0,3386.0,210718.0,65232.0,178578.0,100418.0,1842865.0,1002709.0,73549.0,4774019.0,212289.0,23577.0,6693621.0,3043882.0,135756.0,7689006.0,54873.0,1799561.0,721331.0,11887541.0,407354.0,3874035.0,45928842.0,32252742.0,48032.0,2390121.0,6222.0,1780726.0,173178.0,2445322.0,507946.0,145305.0,120283.0,20622757.0,6965902.0,4052051.0,8768500.0,6936656.0,163781.0,794929.0,127173.0,34950239.0,159899.0,6289.0,943388.0,6044197.0,9623800.0,1274544.0,1133537.0,669456.0,7397579.0,150504554.0,196433396.0,2020,Agosto,8
Septiembre,27698.0,2093963.0,19386.0,286481.0,78396.0,332409.0,156227.0,2497329.0,1529464.0,162933.0,3599047.0,89511.0,26706.0,8879446.0,2980134.0,131671.0,11813482.0,96068.0,2175888.0,1470981.0,12883278.0,736866.0,4051441.0,56118805.0,33552233.0,31101.0,5197761.0,2759.0,816304.0,138620.0,5556070.0,265464.0,121938.0,366443.0,25513370.0,3862584.0,4750767.0,4442644.0,10544426.0,76480.0,2284578.0,337998.0,42296950.0,85732.0,9734.0,2313290.0,7853386.0,12867824.0,587578.0,354329.0,730964.0,9315503.0,174276830.0,230395635.0,2020,Septiembre,9
Octubre,6417.0,1656856.0,2785.0,198724.0,232104.0,904826.0,186335.0,2903418.0,1397595.0,22207.0,5280714.0,91529.0,40135.0,13908462.0,2974054.0,194829.0,19157667.0,169008.0,4471897.0,2383854.0,14904142.0,234016.0,4736518.0,76058092.0,36887335.0,39578.0,7240608.0,142568.0,20077.0,165462.0,19575464.0,347174.0,62905.0,204586.0,16856214.0,2209966.0,2199837.0,4610134.0,13017013.0,305258.0,8925358.0,604380.0,25208758.0,192340.0,7960.0,2518558.0,7035412.0,16827156.0,262516.0,347912.0,5991195.0,13846321.0,185652045.0,261710137.0,2020,Octubre,10
Noviembre,2327.0,1204569.0,3235.0,69477.0,109287.0,1707408.0,116534.0,2437008.0,1603692.0,63688.0,5200953.0,100603.0,81275.0,13134499.0,1621135.0,316165.0,38480011.0,463322.0,4344242.0,3448657.0,12261136.0,285767.0,5264412.0,92319402.0,32171692.0,1759.0,6041815.0,54282.0,1189548.0,5471.0,24436532.0,3663036.0,85546.0,166891.0,16873218.0,1132381.0,1232678.0,8488430.0,13920687.0,49533.0,8252158.0,596854.0,4698706.0,10979.0,2248.0,2938073.0,9258870.0,15999644.0,442198.0,264112.0,12232141.0,14464970.0,178674452.0,270993854.0,2020,Noviembre,11
Diciembre,2988.0,1718349.0,12563.0,87111.0,51868.0,1578392.0,117451.0,5055785.0,1223741.0,119951.0,5583240.0,51676.0,46715.0,14081742.0,1433657.0,245990.0,31462077.0,963822.0,4435204.0,2685289.0,10883220.0,391775.0,5810482.0,88043088.0,22132257.0,93733.0,6322932.0,4407.0,4504907.0,82949.0,26118886.0,9420078.0,264197.0,140266.0,11105119.0,6261691.0,771920.0,10794962.0,14188587.0,158710.0,7377750.0,863031.0,562026.0,88807.0,1549.0,4365895.0,13472985.0,18679879.0,215009.0,191658.0,17145651.0,13056372.0,188386213.0,276429301.0,2020,Diciembre,12
Total,105184.0,12353688.0,214325.0,1211113.0,1350175.0,14738956.0,11492705.0,42232297.0,16189552.0,2347757.0,48348022.0,1187007.0,1278001.0,142168121.0,25261023.0,3488653.0,274963968.0,3998072.0,59836002.0,21613457.0,152034703.0,4776334.0,55187182.0,896376297.0,340777645.0,460535.0,157254319.0,316910.0,16696527.0,5521442.0,188346930.0,47183762.0,1570670.0,1101397.0,233882449.0,53990381.0,29511465.0,105262396.0,151821316.0,1712968.0,66813930.0,6891326.0,162219805.0,2643330.0,122083.0,48390579.0,107136896.0,178300242.0,6860129.0,62507213.0,116446189.0,128404228.0,2222147062.0,3118523359.0,2020,Total,-1
