,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Septiembre,223622,26427093,15958,1030619,7005503,7422330,1420129,13584884,4059942,1763200,821527,709115,6946,3243068,13557287,835528,9636869,21967486,36170942,148777,27651351,1274433,10169652,189146261,20713423,5399019,6245330,2550535,5780452,16660250,5178919,1806486,464521,986731,2875055,34607262,18364490,13968023,9952172,48079290,15518521,1187342,14789570,51897980,743015,18031917,2082970,4252372,1936600,18784772,73835041,12363000,409055058,598201319,2019,Septiembre,9
Octubre,363157,31273188,277368,1781097,11293014,26131618,3001447,11219332,13571408,2094173,1267543,1598885,51226,3496905,32951704,808519,10702119,57722496,60160594,530264,46337019,1216179,12673269,330522524,26904930,1888867,4196777,42629131,6455,12569878,24944604,2981838,326594,783962,3338330,65339255,153499517,18793771,13495710,15404265,10528220,1753461,32408201,24317582,1233796,14914932,2344469,6694580,2659719,2824860,61540780,17188838,565513322,896035846,2019,Octubre,10
Noviembre,755161,26915923,393729,4806205,16952989,40460795,3362506,10356024,45905357,7657972,1002687,6208724,111592,2832114,90648671,3375008,5183942,94159540,108797962,722558,82076341,1797170,19951432,574434402,25534600,628743,2485886,63220529,82383,3893398,37617531,2634270,293220,610978,3984639,72981079,257865662,6927852,11165742,4392862,2944844,1618097,121910458,4673837,1022780,11846815,2229112,5857942,6154162,1280769,30151331,15488527,699498048,1273932450,2019,Noviembre,11
Diciembre,990690,27647105,1474609,8034327,18705602,41780039,2666504,10057177,67762734,8506984,1276423,8757483,165688,3888991,91049364,1344600,5215234,97823553,140330053,815124,119585095,3445867,31680420,693003666,26112539,76043,2806477,55231828,1179402,795255,41663247,7492163,290604,139921,2803486,76845353,270939433,6105012,10247898,1079245,2145406,1488039,147442676,795498,1257317,8787943,4518547,4984722,5458764,1922112,21744945,13843124,718196999,1411200665,2019,Diciembre,12
Total,6343911,315889618,16549710,68698401,152994089,337647935,25857463,189907353,523993807,65637219,70426726,59246760,4910282,46995656,721414987,31038568,152978952,602165099,1113966067,20561957,921648182,63116119,240927130,5752915991,343582387,118369615,337593747,194264341,91811644,91843977,429787239,595359874,12666290,7634884,29623087,727661350,1288658150,83929110,90848061,367930735,318685834,34868370,1113198917,399907614,12281678,99557662,31357807,64720056,56264552,416135510,306551526,124733907,7789827924,13542743915,2019,Total,-1
Enero,1111777,29389124,2034106,8802760,23769535,49215648,4164398,10201083,75754133,9715096,1041337,11982080,304173,3867855,104180063,1213948,4994319,130282999,172507681,933478,143465410,4316257,30487448,823734708,37903329,18240,4584347,29146325,150302,364517,42072177,43265023,201597,9300,2698290,68246833,228791577,4933410,12078548,559686,1359039,1062795,149083723,311342,1024199,7791057,2208099,5725460,7276069,699361,8155407,7209651,666929703,1490664411,2020,Enero,1
Febrero,921112,32442689,2561256,9123312,18630210,38316337,3067499,9388631,79818433,9715545,3458441,9950616,533733,4540887,94530798,807728,3263340,98108553,163495884,1037548,139845598,5249722,30002086,758809958,45394918,214014,16984959,4099245,127755,478298,51738458,106597309,142218,5833,1917753,69277035,185287283,5229444,9812101,838344,1545812,733053,152212886,426054,1164882,6181260,2474802,5707364,7365914,971975,5206882,5316038,687451889,1446261847,2020,Febrero,2
Marzo,668680,42063485,3132870,10139249,18262390,52353421,3195901,11537838,84970997,8588714,13786199,8510406,688063,5441759,91454182,1831825,3416727,60450131,170105472,1052862,129038071,7015908,27613304,755318454,56977729,22978,63004799,894798,88689,697181,59521519,153571207,137428,1871,1560298,96436879,151681565,5362305,9355171,395993,1203313,1914824,196658874,677289,1748599,5621280,1714893,5597355,8925296,1678447,4139067,7152546,836742193,1592060647,2020,Marzo,3
Abril,553986,35092940,1948707,13127341,15400045,61123560,3908411,7774324,96040789,6088647,25110934,6304419,967609,4729068,94994108,3217122,5780535,25535990,108516954,1779598,91112097,14497338,23764152,647368674,44354318,6367908,91031848,240371,1325599,376151,54448672,140466142,232876,10816,2118818,115308601,84206682,5874508,8129500,12816468,6693397,3961477,185369114,20295190,2280390,5535704,1780463,5898712,8563823,38886655,3408347,12539469,862522019,1509890693,2020,Abril,4
Mayo,351034,29247246,324872,10900106,12219375,33965426,2331870,8055593,65044073,2755907,15545068,1076921,725500,4918215,39033515,5512345,12930201,18755566,61606457,4479055,52091904,17163118,22720754,421754121,27191537,52245494,120766919,106350,16995049,4178282,65854586,89069059,436069,601922,6748026,104709115,18931853,5689647,7262304,72672788,53489569,4193989,121040278,88059660,2032092,3859306,1877819,5421863,5135399,112463328,3212889,10707492,1004952684,1426706805,2020,Mayo,5
Junio,253121,42433265,38823,7245965,6898389,16899263,1726830,12143932,26243287,1432516,9193121,783586,389198,4854026,17046299,11185748,26912106,16796521,53135832,6807779,30648628,11517708,17018674,321604617,19621864,49846937,55637708,123639,29793972,17296529,19788651,20007362,81973,1380545,5448468,76634562,1145804,6831546,5401015,98229392,83260615,4429374,55260103,98843315,1438964,2280230,1525862,4605411,1570829,106610723,4707533,5560266,777363192,1098967809,2020,Junio,6
Julio,228136,39624626,54041,3960029,4441925,4297653,952888,18131042,10928229,1142895,3384022,955171,29942,1944402,13116770,5877559,15196393,14516521,36112147,1396817,25975681,3194360,10190248,215651497,16147338,22106581,11042126,94593,12127136,22048399,5401315,2928427,104155,1204376,6123603,52845947,440876,4208031,6029943,87616164,78112549,304653,27966624,94848142,982389,7600842,1568986,4875406,809088,78842258,43799452,4032865,594212264,809863761,2020,Julio,7
Agosto,280120,35422014,6754,1243791,4533509,3933289,1391888,11248891,5671355,1233236,1153662,832750,18505,4390712,13846346,5219937,7637488,12282172,37116812,699771,28653507,1831430,7383560,186031499,19536623,11599065,3769570,250015,1350067,21508317,1766513,7618441,43097,2417147,2973367,46674849,1680109,6077062,5902266,75266030,61858295,165847,22183949,80160196,891728,11762889,1466413,3813135,663694,76948822,77821724,5568459,551737689,737769188,2020,Agosto,8
Septiembre,292124,33969381,47008,1575316,9770921,14099105,1548420,12348323,6843161,1395844,1257778,1020346,77982,3415882,16874306,1480919,7112925,30180173,40253093,532361,27436365,1839540,9696853,223068126,25389293,3956029,2442271,5357423,1145928,22281159,7087119,1610193,59095,2121883,3761897,50031100,27866670,18489628,7537655,35270332,20119230,620452,15571222,53113036,1077997,12182487,1407557,4327068,963254,20564648,84532030,13410494,442297150,665365276,2020,Septiembre,9
Octubre,338249,35169331,390350,1974811,20002717,56794252,4516464,11771248,16862001,2302245,1081738,2174846,54794,3879281,44680197,2192038,4319191,73919012,71075698,483312,49909474,2163353,16798677,422853279,30657249,1710362,2228978,47457233,45827,15129035,30041456,1526869,26487,2217644,4759341,73454969,191192186,20283705,9718035,9942680,6690584,1439279,55583673,13241826,1451997,12099531,1632354,5529219,5812274,3194886,94525155,19794543,661387377,1084240656,2020,Octubre,10
Noviembre,685916,32233699,1131018,4442559,18797732,42349078,3262307,10954885,44520920,5344150,1045276,6959782,42858,5521817,82287628,1819133,4312371,84335097,116630811,819435,91939323,1650162,23054752,584140709,29231970,208111,3262538,61493605,106470,2173786,47532471,7481082,105654,742038,5047773,69045234,253435618,9672447,10285230,2613458,3003430,1421432,130840763,1497750,1487291,9768213,1725264,5280371,7147631,2900580,58104302,15376460,740990972,1325131681,2020,Noviembre,11
Diciembre,674603,30927519,2639794,8675029,20953970,33052826,2964186,11019524,68379511,6901559,1384039,7206320,93968,4745038,87079502,543928,5033383,78966840,128292253,935398,124723827,3211373,33874954,662279344,34958474,158456,3355457,55586275,1115965,314588,44169676,12607393,78454,157381,4351195,78612436,274777598,5686888,8785808,1272241,3670151,1217470,154465840,431255,1460880,5326005,3137351,5334052,7308295,723750,24633178,12016929,745713441,1407992785,2020,Diciembre,12
Total,6358858,418015319,14309599,81210268,173680718,406399858,33031062,134575314,581076889,56616354,77441615,57757243,3926325,52248942,699123714,40902230,100908979,644129575,1158849094,20957414,934839885,73650269,252605462,6022614986,387364642,148454175,378111520,204849872,64372759,106846242,429422613,586748507,1649103,10870756,47508829,901277560,1419437821,98338621,100297576,397493576,321005984,21464645,1266237049,451905055,17041408,90008804,22519863,62115416,61541566,444485433,412245966,118685212,8572300573,14594915559,2020,Total,-1
