,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Agosto,98.0,17856.0,3.0,1473.0,5375.0,9191.0,1448.0,45986.0,2862.0,1170.0,272.0,403.0,62.0,1742.0,13321.0,2416.0,23757.0,17261.0,24234.0,616.0,29831.0,4678.0,6412.0,210467.0,7647.0,7088.0,391.0,8.0,689.0,21094.0,383.0,2099.0,98.0,752.0,1510.0,33060.0,935.0,2659.0,7598.0,93498.0,86768.0,126.0,27710.0,82493.0,517.0,15984.0,3385.0,7507.0,612.0,145310.0,31014.0,5290.0,586225.0,796692.0,2019,Agosto,8
Septiembre,107.0,13942.0,3.0,1181.0,7045.0,12329.0,2332.0,38286.0,3159.0,1029.0,244.0,351.0,4.0,2156.0,11464.0,552.0,26945.0,30564.0,28764.0,437.0,19387.0,3295.0,6505.0,210081.0,5372.0,4174.0,1472.0,1778.0,2525.0,17912.0,803.0,1388.0,144.0,422.0,1592.0,26265.0,18822.0,8311.0,12017.0,65925.0,29313.0,404.0,17577.0,66733.0,329.0,23456.0,2538.0,6545.0,1938.0,42885.0,35696.0,10327.0,406663.0,616744.0,2019,Septiembre,9
Octubre,256.0,15349.0,146.0,1649.0,16659.0,41092.0,4577.0,32214.0,12428.0,1448.0,560.0,902.0,25.0,1718.0,34470.0,1181.0,36970.0,76572.0,59671.0,2262.0,35426.0,3276.0,9540.0,388391.0,8429.0,1508.0,892.0,40742.0,3.0,13624.0,3284.0,1429.0,62.0,351.0,2155.0,56420.0,158531.0,11596.0,16703.0,23100.0,14849.0,788.0,39966.0,31807.0,699.0,18425.0,2908.0,10155.0,2438.0,7930.0,30475.0,16074.0,515343.0,903734.0,2019,Octubre,10
Noviembre,465.0,14244.0,241.0,4676.0,18852.0,47606.0,4300.0,30152.0,36117.0,6777.0,481.0,3529.0,81.0,1515.0,87641.0,3063.0,23564.0,104380.0,97773.0,644.0,69936.0,3825.0,13262.0,573124.0,8751.0,486.0,505.0,73019.0,8.0,4257.0,5478.0,872.0,59.0,609.0,2848.0,65748.0,268951.0,3745.0,14550.0,6414.0,4474.0,826.0,174928.0,6671.0,683.0,14305.0,2803.0,8686.0,6662.0,1859.0,14983.0,14298.0,707478.0,1280602.0,2019,Noviembre,11
Diciembre,593.0,14504.0,793.0,8810.0,19010.0,45824.0,3317.0,31194.0,59208.0,9467.0,451.0,5199.0,99.0,1778.0,101841.0,1271.0,17548.0,110414.0,108264.0,673.0,96103.0,6174.0,26427.0,668962.0,9228.0,37.0,482.0,64072.0,121.0,1141.0,6210.0,2015.0,55.0,114.0,2528.0,76967.0,261733.0,2972.0,12249.0,1585.0,2636.0,409.0,229243.0,1136.0,866.0,11649.0,4805.0,7363.0,6085.0,4172.0,13368.0,11628.0,734869.0,1403831.0,2019,Diciembre,12
Total,4315.0,183852.0,13203.0,77740.0,158696.0,414930.0,35573.0,404587.0,483845.0,69481.0,24701.0,37305.0,2896.0,21530.0,760391.0,40193.0,302979.0,704460.0,828959.0,24819.0,767368.0,111023.0,175022.0,5647868.0,119143.0,92833.0,68478.0,210088.0,28928.0,94223.0,68659.0,293492.0,2800.0,3549.0,22108.0,734041.0,1371751.0,47206.0,119016.0,399861.0,455783.0,6863.0,1756869.0,428951.0,8307.0,128062.0,36522.0,97025.0,64225.0,910927.0,155719.0,98124.0,7823553.0,13471421.0,2019,Total,-1
Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Unnamed: 13,-1
Enero,761.0,15331.0,1503.0,9333.0,18361.0,38578.0,5111.0,31694.0,68155.0,10341.0,446.0,7685.0,221.0,1677.0,106682.0,1979.0,16724.0,108209.0,131387.0,914.0,116098.0,7349.0,20041.0,718580.0,13129.0,5.0,693.0,32206.0,32.0,229.0,5897.0,12553.0,182.0,47.0,2323.0,64905.0,212402.0,2995.0,15543.0,1079.0,1642.0,143.0,228877.0,299.0,730.0,10605.0,1849.0,8068.0,8411.0,1078.0,5118.0,7165.0,638205.0,1356785.0,2020,Enero,1
Febrero,668.0,16474.0,2362.0,9858.0,18858.0,46214.0,4265.0,28094.0,76128.0,11062.0,1011.0,6188.0,338.0,1869.0,106108.0,536.0,10585.0,92835.0,120690.0,661.0,112893.0,8824.0,20590.0,697111.0,14832.0,83.0,2359.0,3933.0,30.0,276.0,6081.0,42419.0,37.0,9.0,1699.0,68240.0,142055.0,2998.0,12455.0,1248.0,1664.0,98.0,220691.0,300.0,763.0,8233.0,2159.0,8091.0,8065.0,1439.0,2457.0,4006.0,556720.0,1253831.0,2020,Febrero,2
Marzo,421.0,17343.0,2983.0,11252.0,20038.0,54440.0,3831.0,31478.0,77609.0,10544.0,4002.0,5586.0,450.0,2646.0,102693.0,1153.0,10457.0,61887.0,114191.0,1087.0,100857.0,11850.0,22321.0,669119.0,18812.0,9.0,9275.0,1024.0,17.0,480.0,7445.0,76934.0,22.0,0.0,1495.0,90865.0,120367.0,3184.0,12385.0,360.0,1110.0,239.0,276701.0,465.0,1183.0,7140.0,1600.0,7929.0,10165.0,2278.0,1899.0,4720.0,658103.0,1327222.0,2020,Marzo,3
Abril,265.0,13390.0,2109.0,11717.0,16482.0,55137.0,3144.0,17178.0,64407.0,7154.0,7531.0,3947.0,482.0,2215.0,101120.0,2071.0,14362.0,29828.0,57540.0,2286.0,67445.0,23035.0,18481.0,521326.0,13954.0,2879.0,17237.0,146.0,444.0,226.0,8060.0,82396.0,56.0,27.0,1768.0,87833.0,59691.0,2993.0,10773.0,7468.0,6874.0,523.0,215989.0,11828.0,1283.0,6822.0,2073.0,8902.0,8721.0,65291.0,1386.0,7794.0,633437.0,1154763.0,2020,Abril,4
Mayo,157.0,10582.0,298.0,9429.0,12786.0,46559.0,2611.0,19449.0,45650.0,3217.0,5427.0,719.0,265.0,2372.0,41331.0,8677.0,28422.0,24466.0,33796.0,6303.0,38805.0,27446.0,21217.0,389984.0,9547.0,34293.0,21664.0,37.0,3914.0,2557.0,9924.0,48995.0,96.0,114.0,2740.0,71218.0,13096.0,3055.0,10305.0,45573.0,48819.0,655.0,119342.0,54990.0,1096.0,4309.0,2001.0,7867.0,4938.0,148724.0,1479.0,6804.0,678152.0,1068136.0,2020,Mayo,5
Junio,102.0,20207.0,36.0,6485.0,8471.0,23480.0,1965.0,34069.0,17788.0,1297.0,3354.0,444.0,157.0,2207.0,17803.0,21499.0,56869.0,21446.0,34067.0,7787.0,23133.0,22305.0,15692.0,340663.0,9042.0,34446.0,9603.0,73.0,9658.0,12961.0,3281.0,10932.0,41.0,312.0,2611.0,52920.0,1250.0,5479.0,8480.0,76850.0,107941.0,692.0,51835.0,67937.0,690.0,2570.0,1738.0,7112.0,1510.0,205397.0,2065.0,3678.0,691104.0,1031767.0,2020,Junio,6
Julio,98.0,20046.0,55.0,3332.0,4553.0,7095.0,1140.0,48945.0,8763.0,860.0,995.0,699.0,36.0,1111.0,12519.0,6222.0,31183.0,18148.0,27486.0,1702.0,18881.0,6577.0,7879.0,228325.0,9059.0,13732.0,2301.0,57.0,4365.0,20256.0,999.0,1787.0,48.0,476.0,2312.0,37490.0,419.0,3464.0,8454.0,80736.0,122253.0,69.0,25849.0,78725.0,519.0,7439.0,1735.0,7597.0,617.0,196800.0,20723.0,3251.0,651532.0,879857.0,2020,Julio,7
Agosto,120.0,17189.0,5.0,1261.0,3986.0,6504.0,2976.0,31834.0,4634.0,903.0,294.0,429.0,29.0,2068.0,12602.0,4497.0,22450.0,13647.0,27444.0,2234.0,20128.0,3609.0,4755.0,183598.0,8520.0,6979.0,747.0,152.0,1019.0,20065.0,297.0,3552.0,21.0,842.0,1427.0,31070.0,1232.0,4010.0,8116.0,67581.0,92539.0,53.0,20634.0,63068.0,427.0,12143.0,1476.0,5807.0,510.0,165061.0,36809.0,4441.0,558598.0,742196.0,2020,Agosto,8
Septiembre,148.0,15972.0,29.0,1806.0,7849.0,14696.0,2351.0,33138.0,5741.0,932.0,369.0,615.0,94.0,1544.0,16371.0,1983.0,31222.0,33535.0,32067.0,1645.0,20211.0,3862.0,6027.0,232207.0,8852.0,2305.0,563.0,3545.0,503.0,19304.0,969.0,1099.0,39.0,868.0,1868.0,34727.0,26405.0,10789.0,11386.0,29256.0,33133.0,377.0,12410.0,39519.0,628.0,14452.0,1419.0,6615.0,727.0,42654.0,40420.0,10512.0,355344.0,587551.0,2020,Septiembre,9
Octubre,237.0,15411.0,170.0,2181.0,19331.0,42757.0,4923.0,26924.0,14659.0,2061.0,278.0,1251.0,41.0,1932.0,48526.0,4259.0,23011.0,74927.0,64275.0,753.0,32574.0,3732.0,14056.0,398269.0,10351.0,990.0,499.0,45864.0,30.0,11509.0,3753.0,873.0,8.0,1147.0,2566.0,57814.0,178005.0,11750.0,12808.0,9726.0,10189.0,679.0,63878.0,10259.0,906.0,15109.0,1929.0,8443.0,5435.0,6233.0,42322.0,18209.0,531284.0,929553.0,2020,Octubre,10
Noviembre,473.0,13955.0,565.0,4910.0,22765.0,48606.0,4404.0,26874.0,42401.0,6240.0,267.0,4981.0,40.0,2603.0,96182.0,3501.0,18503.0,111962.0,96789.0,962.0,76323.0,3811.0,18769.0,605886.0,10377.0,119.0,584.0,66117.0,21.0,1620.0,6506.0,2339.0,27.0,543.0,3446.0,60595.0,274659.0,5362.0,12680.0,3334.0,3557.0,397.0,178320.0,1363.0,1011.0,11339.0,2018.0,7842.0,7346.0,3700.0,25677.0,13157.0,704056.0,1309942.0,2020,Noviembre,11
Diciembre,489.0,13299.0,1438.0,9571.0,17907.0,41739.0,4583.0,26599.0,67966.0,8643.0,363.0,4965.0,76.0,2116.0,104411.0,427.0,21021.0,112140.0,105627.0,869.0,101461.0,6159.0,26327.0,678196.0,11926.0,187.0,578.0,57663.0,160.0,260.0,6010.0,2973.0,18.0,76.0,3868.0,76290.0,314612.0,3411.0,10517.0,1816.0,4025.0,368.0,224396.0,499.0,964.0,6857.0,3699.0,7966.0,8294.0,964.0,12713.0,9806.0,770916.0,1449112.0,2020,Diciembre,12
Total,3939.0,189199.0,11553.0,81135.0,171387.0,425805.0,41304.0,356276.0,493901.0,63254.0,24337.0,37509.0,2229.0,24360.0,766348.0,56804.0,284809.0,703030.0,845359.0,27203.0,728809.0,128559.0,196155.0,5663264.0,138401.0,96027.0,66103.0,210817.0,20193.0,89743.0,59222.0,286852.0,595.0,4461.0,28123.0,733967.0,1344193.0,59490.0,133902.0,325027.0,433746.0,4293.0,1638922.0,329252.0,10200.0,107018.0,23696.0,92239.0,64739.0,839619.0,193068.0,93543.0,7427451.0,13090715.0,2020,Total,-1
